scalerS16b	IPM2C21A	IPM2C24A		
822	1.38138e+07	12.7374	12.2798	
836	1.38138e+07	12.5762	12.1063	
835	1.38138e+07	12.8414	12.2059	
830	1.38138e+07	12.7179	12.3291	
825	1.38138e+07	12.7179	12.1771	
823	1.38138e+07	12.5892	12.1771	
819	1.38138e+07	12.6555	12.1001	
823	1.38138e+07	12.5515	12.1001	
828	1.38138e+07	12.6724	12.0416	
820	1.38138e+07	12.6724	12.2121	
823	1.38138e+07	12.5866	12.0683	
817	1.38138e+07	12.5866	12.0683	
836	1.38138e+07	12.5866	12.0683	
824	1.38138e+07	12.7491	12.2326	
839	1.38138e+07	12.636	12.1432	
837	1.38138e+07	12.8583	12.1432	
830	1.38138e+07	12.8583	12.3764	
835	1.38138e+07	12.6282	12.1884	
819	1.38138e+07	12.6282	12.1186	
833	1.38138e+07	12.5346	12.1186	
817	1.38138e+07	12.6737	12.1186	
817	1.38138e+07	12.506	12.0642	
832	1.38138e+07	12.6724	12.0642	
825	1.38138e+07	12.7517	12.2069	
831	1.38138e+07	12.6464	12.2069	
832	1.38138e+07	12.7452	12.2069	
837	1.38138e+07	12.7452	12.2069	
821	1.38138e+07	12.6295	12.2069	
826	1.38138e+07	12.4293	11.945	
824	1.38138e+07	12.7062	12.1155	
820	1.38138e+07	12.493	12.0652	
824	1.38138e+07	12.493	11.9707	
835	1.38138e+07	12.6672	12.0672	
822	1.38138e+07	12.6672	12.2264	
825	1.38138e+07	12.5658	12.0868	
836	1.38138e+07	12.662	12.0868	
819	1.38138e+07	12.7907	12.2254	
818	1.38138e+07	12.4059	12.1124	
821	1.38138e+07	12.6256	11.906	
832	1.38138e+07	12.6256	12.1545	
823	1.38138e+07	12.8687	12.1545	
819	1.38138e+07	12.6971	12.2942	
829	1.38138e+07	12.6243	12.1217	
814	1.38138e+07	12.7959	12.2213	
825	1.38138e+07	12.5034	12.1289	
817	1.38138e+07	12.7504	12.1289	
807	1.38138e+07	12.5138	12.1289	
819	1.38138e+07	12.5138	11.9491	
815	1.38138e+07	12.6412	12.0395	
830	1.38138e+07	12.6412	12.1278	
821	1.38138e+07	12.753	12.1278	
813	1.38138e+07	12.753	12.3959	
813	1.38138e+07	12.4748	12.0693	
809	1.38138e+07	12.4748	11.9563	
827	1.38138e+07	12.6815	11.9563	
829	1.38138e+07	12.7556	12.2398	
828	1.38138e+07	12.6971	12.2398	
822	1.38138e+07	12.6971	12.2398	
816	1.38138e+07	12.5502	12.0611	
832	1.38138e+07	12.8102	12.1258	
828	1.38138e+07	12.8102	12.325	
